ticket_id,timestamp,customer_id,channel,message,agent_reply,product,order_value,customer_country,resolution_status,true_category
TKT-00001,2026-01-05 11:00:03.033713,CUST-8183,web,One item is missing from my order.,Thank you for reaching out. We will resolve this as soon as possible.,Smart Watch,16441.04,Australia,Escalated,Missing Item
TKT-00002,2026-04-19 19:20:03.033767,CUST-5364,chat,I cannot log into my account.,Thank you for reaching out. We will resolve this as soon as possible.,Keyboard,26203.33,United Kingdom,Resolved,Login Issue
TKT-00003,2025-11-14 04:05:03.033792,CUST-7449,web,One item is missing from my order.,We understand your frustration and appreciate your patience.,Keyboard,47035.21,Canada,Pending,Missing Item
TKT-00004,2026-03-31 13:26:03.033810,CUST-5636,chat,The item arrived broken.,We understand your frustration and appreciate your patience.,Phone Charger,5891.14,Canada,Resolved,Damaged Product
TKT-00005,2026-02-01 08:16:03.033824,CUST-1185,email,Missing accessories.,Our support team has escalated this case.,Laptop Sleeve,5072.07,India,Resolved,Missing Item
TKT-00006,2026-05-02 17:33:03.033840,CUST-2630,chat,I cannot log into my account.,Thank you for reaching out. We will resolve this as soon as possible.,Keyboard,46222.19,Germany,Pending,Login Issue
TKT-00007,2026-02-04 01:52:03.033854,CUST-9711,email,Payment failed but money was deducted.,Our support team has escalated this case.,Laptop Sleeve,42449.46,Australia,Escalated,Payment Failure
TKT-00008,2025-12-28 01:38:03.033868,CUST-9085,web,I cannot log into my account.,Our support team has escalated this case.,Bluetooth Speaker,42510.86,United States,Escalated,Login Issue
TKT-00009,2026-03-23 09:24:03.033882,CUST-8080,email,Refund has not been credited.,Our support team has escalated this case.,Phone Charger,30072.39,India,Resolved,Refund Request
TKT-00010,2026-02-14 01:23:03.033909,CUST-5428,chat,Package did not contain all products.,We understand your frustration and appreciate your patience.,Smart Watch,41815.89,Germany,Resolved,Missing Item
TKT-00011,2025-11-20 08:17:03.033924,CUST-2161,chat,Payment failed but money was deducted.,We're sorry for the inconvenience. Our team is looking into this issue.,Monitor,29000.17,Canada,Pending,Payment Failure
TKT-00012,2025-12-03 00:39:03.033937,CUST-7882,chat,Please process my refund.,We understand your frustration and appreciate your patience.,Wireless Earbuds,44194.76,United States,Pending,Refund Request
TKT-00013,2026-04-12 15:29:03.033951,CUST-4917,web,Where is my order?,We're sorry for the inconvenience. Our team is looking into this issue.,Phone Charger,42456.17,Germany,Resolved,Delivery Delay
TKT-00014,2026-01-19 21:06:03.033964,CUST-4690,web,Please cancel my subscription.,Our support team has escalated this case.,Monitor,26601.36,United States,Resolved,Subscription Cancellation
TKT-00015,2026-01-29 19:19:03.033977,CUST-5432,email,Very disappointed with the quality.,Our support team has escalated this case.,Monitor,47147.0,United States,Resolved,Product Quality
TKT-00016,2026-01-08 07:22:03.033990,CUST-1774,email,Unable to access dashboard.,Our support team has escalated this case.,Gaming Mouse,17840.0,India,Escalated,Login Issue
TKT-00017,2026-04-18 20:43:03.034003,CUST-5936,chat,Very disappointed with the quality.,Our support team has escalated this case.,Monitor,7394.49,United States,Escalated,Product Quality
TKT-00018,2026-04-28 09:24:03.034016,CUST-8883,web,Refund has not been credited.,Thank you for reaching out. We will resolve this as soon as possible.,Gaming Mouse,49353.36,United Kingdom,Escalated,Refund Request
TKT-00019,2026-03-20 14:39:03.034032,CUST-3269,email,I cannot log into my account.,We understand your frustration and appreciate your patience.,Monitor,38059.71,Germany,Escalated,Login Issue
TKT-00020,2025-11-21 19:51:03.034048,CUST-3040,chat,Payment failed but money was deducted.,Thank you for reaching out. We will resolve this as soon as possible.,Laptop Sleeve,11266.95,Canada,Escalated,Payment Failure
TKT-00021,2026-01-27 14:55:03.034061,CUST-1314,chat,Unable to complete payment.,Thank you for reaching out. We will resolve this as soon as possible.,Monitor,5901.91,United Kingdom,Escalated,Payment Failure
TKT-00022,2026-04-10 06:40:03.034075,CUST-5558,email,Refund has not been credited.,We're sorry for the inconvenience. Our team is looking into this issue.,Phone Charger,24813.7,United Kingdom,Resolved,Refund Request
TKT-00023,2026-03-17 02:14:03.034088,CUST-9573,web,My order has not arrived yet.,Thank you for reaching out. We will resolve this as soon as possible.,Smart Watch,25302.53,United States,Pending,Delivery Delay
TKT-00024,2026-01-20 12:10:03.034100,CUST-7700,chat,Website shows an error.,Thank you for reaching out. We will resolve this as soon as possible.,Bluetooth Speaker,45340.19,United States,Resolved,Technical Bug
TKT-00025,2026-04-03 06:28:03.034113,CUST-8261,email,Refund has not been credited.,Our support team has escalated this case.,Laptop Sleeve,19255.25,Germany,Resolved,Refund Request
TKT-00026,2025-12-09 08:23:03.034127,CUST-4956,web,Very disappointed with the quality.,Thank you for reaching out. We will resolve this as soon as possible.,Bluetooth Speaker,33961.3,United Kingdom,Escalated,Product Quality
TKT-00027,2026-02-20 12:14:03.034141,CUST-3235,chat,Where is my order?,Our support team has escalated this case.,Gaming Mouse,24781.83,India,Resolved,Delivery Delay
TKT-00028,2026-02-23 14:24:03.034154,CUST-1860,chat,The quality is very poor.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,6686.45,United States,Escalated,Product Quality
TKT-00029,2025-12-12 19:54:03.034167,CUST-5749,email,I want to stop recurring billing.,Thank you for reaching out. We will resolve this as soon as possible.,Phone Charger,32394.57,United States,Resolved,Subscription Cancellation
TKT-00030,2025-12-20 02:54:03.034183,CUST-4492,chat,Product was damaged during shipping.,Thank you for reaching out. We will resolve this as soon as possible.,Bluetooth Speaker,25461.31,United States,Escalated,Damaged Product
TKT-00031,2026-01-28 22:52:03.034196,CUST-5538,email,The app crashes when I open it.,Our support team has escalated this case.,Laptop Sleeve,39776.48,Australia,Resolved,Technical Bug
TKT-00032,2026-01-11 01:47:03.034209,CUST-3505,email,Received a cracked product.,We understand your frustration and appreciate your patience.,Bluetooth Speaker,44926.37,Germany,Pending,Damaged Product
TKT-00033,2026-04-06 08:34:03.034245,CUST-8959,web,Please process my refund.,We understand your frustration and appreciate your patience.,Monitor,27778.51,Canada,Escalated,Refund Request
TKT-00034,2026-01-09 02:09:03.034259,CUST-8590,chat,Password reset link is not working.,Thank you for reaching out. We will resolve this as soon as possible.,Wireless Earbuds,44789.32,India,Escalated,Login Issue
TKT-00035,2025-11-15 14:34:03.034274,CUST-8015,email,I want to stop recurring billing.,Thank you for reaching out. We will resolve this as soon as possible.,Laptop Sleeve,43550.88,United Kingdom,Resolved,Subscription Cancellation
TKT-00036,2026-01-06 04:42:03.034287,CUST-5748,email,My order has not arrived yet.,We're sorry for the inconvenience. Our team is looking into this issue.,Bluetooth Speaker,30531.01,Germany,Escalated,Delivery Delay
TKT-00037,2026-03-15 21:42:03.034298,CUST-5582,web,Very disappointed with the quality.,We're sorry for the inconvenience. Our team is looking into this issue.,Bluetooth Speaker,13718.04,Australia,Escalated,Product Quality
TKT-00038,2026-04-13 21:31:03.034303,CUST-1638,web,The quality is very poor.,Our support team has escalated this case.,Keyboard,9787.65,Australia,Escalated,Product Quality
TKT-00039,2025-12-24 00:10:03.034314,CUST-7214,email,Website shows an error.,Our support team has escalated this case.,Phone Charger,15531.1,United States,Pending,Technical Bug
TKT-00040,2026-01-03 19:32:03.034324,CUST-2363,email,I want a refund for this order.,Thank you for reaching out. We will resolve this as soon as possible.,Keyboard,49055.48,Canada,Escalated,Refund Request
TKT-00041,2026-01-10 14:09:03.034331,CUST-9756,chat,Package did not contain all products.,Our support team has escalated this case.,Monitor,11151.17,United Kingdom,Pending,Missing Item
TKT-00042,2026-02-11 10:33:03.034338,CUST-5351,chat,The package is delayed and there is no update.,We understand your frustration and appreciate your patience.,Phone Charger,25062.29,Germany,Pending,Delivery Delay
TKT-00043,2026-04-11 22:20:03.034344,CUST-9123,email,Where is my order?,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,1742.82,United States,Pending,Delivery Delay
TKT-00044,2026-01-31 10:40:03.034350,CUST-3681,web,Package did not contain all products.,Our support team has escalated this case.,Bluetooth Speaker,747.46,United States,Resolved,Missing Item
TKT-00045,2026-02-22 21:36:03.034355,CUST-6644,chat,One item is missing from my order.,Our support team has escalated this case.,Keyboard,26182.05,United States,Resolved,Missing Item
TKT-00046,2026-05-04 00:44:03.034361,CUST-1322,email,Subscription is difficult to cancel.,Thank you for reaching out. We will resolve this as soon as possible.,Phone Charger,42987.18,India,Pending,Subscription Cancellation
TKT-00047,2025-12-17 16:23:03.034367,CUST-1027,chat,Refund has not been credited.,Our support team has escalated this case.,Monitor,5020.86,United States,Resolved,Refund Request
TKT-00048,2026-03-25 23:13:03.034373,CUST-2027,email,Package did not contain all products.,Our support team has escalated this case.,Smart Watch,35577.84,United Kingdom,Pending,Missing Item
TKT-00049,2026-05-01 05:01:03.034379,CUST-9247,web,I want to stop recurring billing.,We understand your frustration and appreciate your patience.,Gaming Mouse,8931.76,United Kingdom,Pending,Subscription Cancellation
TKT-00050,2026-02-04 10:13:03.034387,CUST-8262,chat,I want to stop recurring billing.,Thank you for reaching out. We will resolve this as soon as possible.,Wireless Earbuds,26653.31,Australia,Resolved,Subscription Cancellation
TKT-00051,2025-11-25 14:24:03.034393,CUST-9783,email,Found a bug in the application.,We're sorry for the inconvenience. Our team is looking into this issue.,Monitor,8391.37,Germany,Resolved,Technical Bug
TKT-00052,2026-03-29 11:12:03.034399,CUST-3254,chat,Incorrect item delivered.,Our support team has escalated this case.,Smart Watch,12350.81,United Kingdom,Pending,Wrong Item
TKT-00053,2026-02-17 02:29:03.034405,CUST-9087,email,The quality is very poor.,Our support team has escalated this case.,Laptop Sleeve,44270.68,United Kingdom,Escalated,Product Quality
TKT-00054,2026-04-01 14:08:03.034411,CUST-9779,email,Account login failed.,Thank you for reaching out. We will resolve this as soon as possible.,Smart Watch,42641.04,Germany,Escalated,Login Issue
TKT-00055,2025-11-27 15:40:03.034418,CUST-5810,email,Cancel my membership immediately.,Our support team has escalated this case.,Phone Charger,34911.91,Germany,Pending,Subscription Cancellation
TKT-00056,2025-12-25 00:26:03.034424,CUST-2534,chat,Incorrect item delivered.,We understand your frustration and appreciate your patience.,Bluetooth Speaker,20073.32,India,Pending,Wrong Item
TKT-00057,2026-03-06 10:33:03.034429,CUST-1353,web,Refund has not been credited.,Thank you for reaching out. We will resolve this as soon as possible.,Monitor,23820.48,Canada,Pending,Refund Request
TKT-00058,2026-03-14 03:16:03.034435,CUST-2393,chat,I want a refund for this order.,We understand your frustration and appreciate your patience.,Gaming Mouse,31936.4,Canada,Pending,Refund Request
TKT-00059,2025-12-25 23:56:03.034441,CUST-4668,chat,Missing accessories.,We understand your frustration and appreciate your patience.,Laptop Sleeve,18549.24,United States,Pending,Missing Item
TKT-00060,2026-05-08 11:33:03.034448,CUST-9108,web,The package is delayed and there is no update.,Thank you for reaching out. We will resolve this as soon as possible.,Wireless Earbuds,26519.24,United Kingdom,Resolved,Delivery Delay
TKT-00061,2026-03-22 01:08:03.034456,CUST-4486,chat,One item is missing from my order.,Our support team has escalated this case.,Keyboard,31051.05,United States,Pending,Missing Item
TKT-00062,2026-04-20 12:21:03.034462,CUST-9364,email,Product does not match expectations.,Our support team has escalated this case.,Laptop Sleeve,1725.49,India,Pending,Product Quality
